0,1
INTRODUCTION ...................................................................................................,4
DATA PROTECTION PRACTICES FOR ICT SYSTEMS ......................................,6
Policy and Risk Management for ICT Systems ......................................................,8
ICT Controls ............................................................................................................,15
SOP/IT Operations ...............................................................................................,23
CONCLUSION .......................................................................................................,30
ANNEX ..................................................................................................................,32
Checklist for Incident Response Management ......................................................,33
ADDITIONAL RESOURCES .................................................................................,35
Advisory Guidelines ...............................................................................................,36
PDPC Guides ..........................................................................................................,36
Other Guides ..........................................................................................................,36
