Basic Practices,Data Lifecycle.Collection,Data Lifecycle.Use,Data Lifecycle.Disclosure,Data Lifecycle.Storage,Data Lifecycle.Archival,Data Lifecycle.Disposal,Data Lifecycle.Disposal
Clear accountability,,,,,,,
The senior management of an organisation should provide clear direction on ICT security goals and policies for personal data protection within the organisation. The involvement and support of an organisation's leadership is important in demonstrating commitment to ICT security for data protection.,•,•,•,•,•,•,•
Data protection risks may be managed through ICT controls. Close collaboration is necessary between data protection and ICT security functions within an organisation. This should be evidenced at appropriate levels of its governance structure.,,,,,,,
"Standards, policies and procedures",,,,,,,
"AnorganisationisrequiredtodevelopandimplementICTsecurity policies for data protection. Key ICT policies would include: • Account and access control policy • Backup/retention policy • Password policy The policies will help to provide management with the direction as well as guidance for all ICT system implementations and activities related to data protection in ICT systems in accordance with business objectives and relevant laws and regulations. Specifically, classification of data should not be conducted in",,,,,,,
the abstract. It is the repository or dataset that should,,,,,,,
"classified, based on their content. This will then allow",•,•,,,,,
be,,,,,,,
"management to decide the level of ICT, process or other controls that need",,,,,,,
,,,•,,•,,
to be implemented for the system.,,,,,,,
"Periodically review and update ICT security policies, standards and procedures to ensure continued relevance, adequacy and effectiveness. This will provide assurance that the data",,,,•,,,
protection practices are kept updated with regulatory,,,,,,,
and,,,,,,,
technological developments.,,,,,,,
Communicate ICT security policies to both internal,,,,,,,
3,,,,,,,
(e.g. staff) and external parties (e.g. customers). This,,,,,,,
assurance to external stakeholders that their personal data,,,,,,,
provides are,,,,,,,
stakeholders,,,,,,,
"adequately protected, andprovidesclarity to internal stakeholders",,,,,,,
on their responsibilities and security processes in handling,,,,,,,
personal data in their day-to-day work and business activities.,,,,,,,
