Governance.Basic Practices,Governance.Basic Practices,Data Lifecycle.Collection,Data Lifecycle.Use,Data Lifecycle.Disclosure,Data Lifecycle.Storage,Data Lifecycle.Archival,Data Lifecycle.Disposal
Risk Management,Risk Management,,,,,,
"Institute a risk management framework to identify security threats to repositories or datasets containing personal data, assess the risks involved and determine the controls to mitigate or minimise such risks.","Institute a risk management framework to identify security threats to repositories or datasets containing personal data, assess the risks involved and determine the controls to mitigate or minimise such risks.",•,•,•,•,•,•
Periodically assess the effectiveness of the risk mitigation controls.,Periodically assess the effectiveness of the risk mitigation controls.,,,,,,
Assess and mitigate the security risks involved in outsourcing or engaging external parties for ICT services.,Assess and mitigate the security risks involved in outsourcing or engaging external parties for ICT services.,,,,,,
Classification and tracking,Classification and tracking,,,,,,
Classify and manage repositories or datasets containing personal data by considering the potential adverse impact (e.g. reputational or financial) to the individuals involved should the data be compromised.,Classify and manage repositories or datasets containing personal data by considering the potential adverse impact (e.g. reputational or financial) to the individuals involved should the data be compromised.,•,•,•,•,•,•
Conduct data protection impact assessment (' DPIA ') before development to assess the types of personal data and the data processing activities required for achieving the purposes of a new ICT system.,Conduct data protection impact assessment (' DPIA ') before development to assess the types of personal data and the data processing activities required for achieving the purposes of a new ICT system.,,,,,•,
"Conduct periodic checks for personal data stored in ICT systems. For personal data that is not required in any form anymore, securely dispose of the data. If there is a need to retain the data but in anonymised or aggregated form, e.g. for performing data analytics, consider anonymising the data.","Conduct periodic checks for personal data stored in ICT systems. For personal data that is not required in any form anymore, securely dispose of the data. If there is a need to retain the data but in anonymised or aggregated form, e.g. for performing data analytics, consider anonymising the data.",,,,•,,•
"Conduct physical asset inventory checks regularly to ensure that all computers and other electronic devices (e.g. portable hard drives, printers, fax machines) used to store or process personal data are accounted for.","Conduct physical asset inventory checks regularly to ensure that all computers and other electronic devices (e.g. portable hard drives, printers, fax machines) used to store or process personal data are accounted for.",,•,,•,,
Minimise collection of personal data,Minimise collection of personal data,,,,,,
"Do not collect personal data unless it will be used and there is valid purpose for doing it. Trace every data element that you are collecting to identify which internal department uses it,how it is used and whether it is necessary.","Do not collect personal data unless it will be used and there is valid purpose for doing it. Trace every data element that you are collecting to identify which internal department uses it,how it is used and whether it is necessary.",•,,,,,
"When different types of personal data can be used to achieve the same purpose, collect the least sensitive types of personal data (e.g. collect approximate location data of users rather than their exact locations).","When different types of personal data can be used to achieve the same purpose, collect the least sensitive types of personal data (e.g. collect approximate location data of users rather than their exact locations).",•,•,•,,,
Be aware of metadata,Be aware of metadata,,,,,,
Personal data may be inadvertently collected in the form of metadata (e.g. EXIF data in image files). Consider not collecting such data or removing them if they are not needed.,Personal data may be inadvertently collected in the form of metadata (e.g. EXIF data in image files). Consider not collecting such data or removing them if they are not needed.,•,,,,,
Avoid continuous automatic collection of personal data,Avoid continuous automatic collection of personal data,,,,,,
"Collect personal data only whenneeded,instead of continuously. For example, provide the option for users to allow their geolocation data to be collected only when the app they are using requires such data, rather than to be automatically obtained continuously.","Collect personal data only whenneeded,instead of continuously. For example, provide the option for users to allow their geolocation data to be collected only when the app they are using requires such data, rather than to be automatically obtained continuously.",•,,,,,
