,MVA per capita 2024 (2015 USD),MVA growth rate 2024 (%),MVA share in GDP 2024 (%),MHT share in MVA 2023 (%),Industry value added share in GDP 2024 (%),Manuf. share in exports 2024 (%),MHT share in manuf. exports 2024 (%),Norm. manuf. trade balance 2024 (%),Manuf. share in employment 2024 (%),Manuf. CO 2 intensity 2022 (kg/USD),CIP Index 2023 (rank)
Afghanistan,28,-0.7,7.1,1.4,11.70,10.1,18.2,-70.8,6.4,...,148
Albania,343,4.8,6.2,4.8,12.21,71.3,18.6,-34.3,11.2,1.03,108
Algeria,477,3.6,10.1,2.1,15.61,29.5,6.8,-24.1,10.7,0.69,88
Andorra,"1,381",2.4,3.4,...,4.59,92.2,64.6,-68.2,...,...,...
Angola,213,5.1,7.0,1.7,21.75,12.0,34.0,-15.2,2.5,0.19,126
Anguilla,626,4.0,2.6,...,9.08,96.7,51.3,-70.6,2.4,...,...
Antigua and Barbuda,431,3.0,2.3,...,6.98,89.2,66.8,-78.0,4.1,...,...
Argentina,"1,843",-2.7,13.4,26.4,18.28,26.1,38.2,-22.4,11.8,0.24,55
Armenia,590,5.5,10.7,4.9,17.22,44.0,21.8,-18.8,8.2,0.34,89
Aruba,"1,092",12.3,3.3,...,7.22,84.6,28.4,-62.3,4.0,...,...
Australia,"2,874",-1.6,5.1,26.4,13.02,46.2,14.2,-17.3,6.6,0.35,34
Austria,"8,596",-1.8,18.7,50.0,21.59,86.8,63.5,1.6,16.6,0.12,13
Azerbaijan,445,2.4,7.7,11.4,27.37,10.2,42.6,-25.8,5.6,0.54,103
Bahamas,129,-0.3,0.4,0.0,2.33,82.5,52.0,-67.5,2.8,...,138
Bahrain,"3,810",2.6,16.2,22.3,29.00,71.1,20.1,9.0,11.9,0.38,65
Bangladesh,577,5.0,24.9,17.3,28.16,97.3,1.8,-7.0,11.3,0.20,64
Barbados,"1,170",1.9,5.7,4.7,8.80,85.1,31.2,-50.3,2.5,...,116
Belarus,"1,692",6.5,24.7,38.5,28.92,84.7,45.9,6.0,18.8,0.31,56
Belgium,"5,065",0.1,11.2,60.3,12.79,86.6,59.0,4.6,11.7,0.23,14
Belize,402,1.1,6.4,...,9.70,63.8,7.8,-51.3,8.0,...,130
Benin,124,3.1,9.4,...,10.22,15.7,19.3,-33.3,14.2,0.34,...
Bermuda,399,-2.1,0.4,18.9,2.09,91.3,90.8,-83.0,1.7,...,144
Bhutan,200,3.2,5.5,...,19.52,51.9,55.1,-36.6,6.7,...,...
Bolivia (Plurinational State of),325,1.0,10.2,9.6,19.42,42.7,7.2,-27.4,11.6,0.52,102
Bosnia and Herzegovina,780,3.8,11.6,21.0,17.53,86.8,33.7,-23.2,17.6,0.61,77
Botswana,410,-2.0,5.9,7.1,21.44,95.5,4.4,-19.3,6.5,0.07,92
Brazil,875,2.3,9.1,33.4,13.45,50.4,32.5,-12.1,11.5,0.46,42
British Virgin Islands,546,1.2,1.3,...,2.65,48.5,32.0,-80.6,2.5,...,...
Brunei Darussalam,"5,238",4.5,17.7,94.5,54.05,60.5,8.9,19.3,5.9,0.23,62
Bulgaria,"1,451",3.4,15.1,34.9,19.80,69.8,50.2,-9.5,18.1,0.49,47
Burkina Faso,79,4.4,10.3,20.6,19.26,7.9,18.6,-44.3,14.6,0.03,...
Burundi,28,2.5,10.7,1.9,11.81,30.7,6.9,-71.8,1.2,...,147
Cabo Verde,218,4.4,4.8,4.2,7.92,88.7,22.4,-77.2,9.6,...,140
Cambodia,697,10.2,32.1,4.6,35.84,82.0,14.9,-5.7,16.5,0.27,69
Cameroon,215,4.1,14.5,4.5,18.08,19.9,17.6,-39.2,9.6,0.05,125
Canada,"4,108",0.1,9.0,40.4,15.55,58.2,56.0,-12.8,8.8,0.32,20
Cayman Islands,685,3.0,0.8,...,3.47,82.6,44.4,-83.7,1.1,...,...
Central African Republic,73,3.5,18.6,...,19.40,42.9,21.4,-65.6,...,...,145
Chad,76,5.9,9.1,0.2,42.92,0.3,54.2,-29.1,7.0,0.18,...
Chile,"1,360",1.4,9.4,19.6,18.76,59.3,6.5,-5.0,9.4,0.28,49
China,"3,563",4.9,28.0,56.7,32.90,93.8,63.3,25.6,29.1,0.57,2
"China, Hong Kong SAR",471,-3.4,1.0,20.5,2.22,87.9,88.6,-2.5,2.4,0.11,91
"China, Macao SAR",401,-1.6,0.7,0.0,1.39,93.4,43.4,-67.0,1.6,...,141
"China, Taiwan Prov.","11,099",7.8,35.7,76.3,37.82,97.6,82.1,16.5,26.4,0.13,6
Colombia,809,0.0,11.8,20.4,18.63,35.3,37.9,-33.7,10.7,0.26,71
Comoros,113,3.2,6.8,...,7.43,53.2,46.0,-72.5,5.2,...,...
Congo,158,2.1,9.4,5.4,40.63,13.8,24.6,-26.6,10.8,0.12,119
Cook Islands,307,2.4,1.1,...,0.07,52.4,75.0,-80.4,3.8,...,...
Costa Rica,"2,073",3.3,13.9,14.7,16.97,75.0,58.5,-15.0,11.1,0.12,59
Croatia,"2,115",2.9,12.0,29.9,14.86,81.3,48.8,-21.2,16.8,0.23,54
Cuba,641,-0.6,8.5,12.7,10.12,75.1,15.0,-46.2,9.3,0.59,100
Curaçao,408,4.1,2.7,...,7.58,85.9,38.4,-54.7,6.7,6.90,...
Cyprus,910,0.0,4.0,20.4,5.53,85.5,43.0,-41.3,6.2,0.42,93
Czechia,"5,196",2.2,25.1,56.4,27.07,95.1,73.0,8.6,25.8,0.21,15
Côte d'Ivoire,307,5.5,12.9,9.6,17.13,25.9,21.1,-17.1,9.6,0.19,97
"Korea, Dem. People's Rep. of",103,-0.6,17.6,...,32.35,89.7,21.4,-67.3,...,...,...
"Congo, Dem. Rep. of",73,3.1,13.2,...,52.53,30.0,0.6,-24.7,5.8,0.00,...
Denmark,"10,795",6.0,17.1,68.1,19.65,82.0,55.4,2.9,11.2,0.06,17
Djibouti,182,6.6,5.6,...,10.67,84.9,41.3,-5.3,0.2,...,...
Dominica,253,-0.7,2.9,...,8.35,76.2,49.7,-69.8,7.8,...,...
Dominican Republic,"1,236",4.1,13.4,25.9,15.38,74.8,47.3,-36.0,9.9,0.35,...
Ecuador,837,-3.6,13.8,11.5,21.37,21.9,9.6,-30.8,9.4,0.27,85
Egypt,548,1.8,13.7,32.5,25.86,70.4,32.4,-28.2,12.5,0.55,68
El Salvador,592,2.0,12.9,8.6,18.09,92.0,19.4,-33.9,13.7,0.57,82
Equatorial Guinea,"1,292",6.6,25.7,...,40.79,13.8,43.8,-19.9,...,0.46,...
Eritrea,44,2.6,6.1,5.2,15.92,51.5,1.3,-15.0,...,0.16,149
Estonia,"2,627",0.1,13.0,26.2,15.09,79.4,52.9,-7.2,17.2,0.06,50
Eswatini,"1,277",2.3,32.9,2.0,34.12,91.8,18.5,10.7,11.6,0.09,84
Ethiopia,50,9.7,5.6,16.1,6.84,17.8,33.4,-72.2,3.2,1.06,146
Fiji,516,2.2,8.7,6.5,11.34,63.6,11.3,-46.9,5.6,...,122
Finland,"6,572",0.0,14.4,45.5,17.76,84.4,52.1,1.9,12.8,0.14,27
France,"4,055",0.8,10.0,47.7,11.27,88.8,61.9,-3.8,11.1,0.14,12
French Polynesia,"1,044",1.9,4.8,...,6.88,78.6,13.3,-75.0,6.2,...,...
Gabon,561,6.4,8.5,...,41.88,37.2,23.7,8.3,...,0.34,90
Gambia,12,0.1,1.6,...,4.66,58.7,12.8,-63.3,8.1,...,150
Georgia,573,11.3,8.7,12.1,12.41,88.8,61.6,-39.7,5.9,0.78,99
Germany,"8,579",-3.6,19.7,61.8,21.25,88.9,73.1,11.7,18.2,0.11,1
Ghana,236,4.2,10.9,11.4,23.97,10.9,13.1,-30.1,11.4,0.26,117
Greece,"2,237",1.8,10.0,25.4,13.84,78.4,30.3,-11.7,9.9,0.19,43
Greenland,"1,364",5.1,2.6,...,6.20,32.2,36.3,-39.2,...,0.30,...
Grenada,441,4.3,4.4,...,8.01,70.8,60.9,-79.9,4.0,...,...
Guatemala,640,2.8,14.0,19.8,16.24,66.3,21.9,-39.6,13.8,0.33,76
Guinea,116,4.8,11.0,4.8,32.62,39.6,2.1,-7.1,2.8,...,...
Guinea-Bissau,91,3.3,12.6,...,13.51,15.8,11.1,-47.3,5.1,...,...
Guyana,394,5.7,1.2,...,77.58,8.0,85.4,-18.3,10.3,0.59,...
Haiti,194,-3.3,17.6,12.6,19.43,96.2,3.8,-44.5,1.4,0.24,134
Honduras,408,3.4,15.9,7.0,19.59,63.2,22.7,-31.2,12.8,0.29,94
Hungary,"2,855",1.1,17.5,63.5,18.87,90.7,78.0,7.1,20.8,0.18,26
Iceland,"5,222",0.0,8.9,11.8,13.95,31.2,33.0,-40.9,9.2,0.01,75
India,356,6.8,14.8,44.5,18.63,86.9,42.5,-3.1,12.0,1.36,37
Indonesia,868,5.1,19.9,35.2,27.39,75.9,32.9,2.9,13.7,0.71,36
Iran,936,6.4,15.8,46.0,27.95,63.6,39.8,10.5,17.8,1.77,52
Iraq,198,-0.2,4.8,17.7,38.14,9.7,3.7,-32.1,6.2,1.78,150
Ireland,"32,270",1.4,34.0,75.6,33.99,96.1,62.5,26.3,9.9,0.02,3
Israel,"5,592",-0.5,12.4,60.3,14.10,85.1,71.3,-19.4,9.1,0.07,32
Italy,"4,842",0.5,14.2,44.9,16.12,90.3,56.1,11.0,18.3,0.13,11
Jamaica,442,-1.7,8.3,...,12.52,86.1,3.8,-46.3,3.5,0.28,110
Japan,"7,981",-0.8,21.4,58.4,24.54,86.0,80.9,6.3,15.4,0.17,8
Jordan,727,2.4,18.2,34.6,22.34,80.9,39.6,-21.2,8.4,0.24,72
Kazakhstan,"1,352",4.4,11.2,11.2,24.55,22.6,44.9,-26.7,6.8,0.87,63
Kenya,156,3.3,8.4,13.1,11.81,46.2,25.0,-50.6,6.8,0.39,112
Kiribati,95,3.4,4.6,...,6.08,14.3,74.6,-74.5,4.0,...,...
Kosovo,788,5.6,14.8,...,20.18,...,...,...,9.1,0.55,...
Kuwait,"2,166",-6.5,9.4,29.3,47.75,66.8,39.1,17.5,5.6,1.06,51
Kyrgyzstan,216,11.4,15.0,2.1,18.09,25.0,29.2,-64.3,11.5,0.35,115
Lao People's Dem. Rep,253,6.5,8.7,4.6,25.57,51.4,30.6,-11.9,3.4,0.78,105
Latvia,"1,839",-2.8,11.0,28.9,13.14,76.2,40.4,-7.4,13.2,0.15,61
Lebanon,240,-11.9,4.2,23.2,7.08,75.9,33.3,-47.5,10.8,0.36,101
Lesotho,156,3.6,15.8,1.4,28.97,90.8,6.0,-21.0,22.6,...,...
Liberia,34,-0.9,5.2,...,25.18,38.4,48.8,-28.8,1.7,...,...
Libya,118,0.5,2.3,10.8,39.43,7.2,12.6,-30.3,...,3.08,...
Liechtenstein,"63,505",1.8,35.5,52.2,36.79,...,...,...,...,...,...
Lithuania,"3,480",3.4,18.0,30.3,20.02,85.0,43.2,3.4,15.9,0.11,38
Luxembourg,"4,622",-2.2,4.4,25.2,5.58,87.3,44.9,-19.6,2.9,0.24,46
Madagascar,41,4.9,9.1,10.2,11.85,43.1,4.1,-42.3,5.4,0.00,135
Malawi,69,4.2,12.5,11.3,16.20,32.1,66.7,-62.3,3.8,...,142
Malaysia,"2,782",5.3,23.5,47.9,31.97,88.0,66.8,7.0,16.8,0.39,23
Maldives,227,4.9,1.9,2.6,4.32,60.0,29.6,-70.7,9.7,...,143
Mali,143,6.4,15.7,14.8,16.54,6.3,46.8,-47.8,4.8,0.07,...
Malta,"2,039",3.7,5.7,17.1,6.38,84.4,61.4,-40.5,10.6,0.04,74
Marshall Islands,79,14.3,1.4,...,5.88,93.4,94.9,-22.7,4.3,...,...
Mauritania,105,3.7,6.2,4.4,13.57,41.3,2.7,-26.9,6.5,0.62,...
Mauritius,"1,304",3.4,11.1,10.6,13.25,84.5,20.3,-40.0,11.2,0.21,98
Mexico,"2,096",1.1,20.3,43.5,23.78,83.8,80.1,0.0,16.6,0.16,18
"Micronesia, Fed. States of",18,0.3,0.6,...,2.78,2.8,58.2,-49.8,2.4,...,...
Monaco,"6,417",0.4,2.8,47.7,2.80,...,...,...,...,...,...
Mongolia,373,3.7,8.0,9.1,23.12,51.4,1.1,-10.1,8.3,1.20,107
Montenegro,289,1.1,3.4,10.6,9.62,64.3,38.4,-65.0,6.2,0.81,127
Montserrat,717,5.1,3.5,...,7.56,74.8,71.7,-65.7,2.5,...,...
Morocco,615,3.2,17.3,32.0,22.79,79.3,62.5,-23.7,11.0,0.26,57
Mozambique,40,0.5,6.6,14.4,18.26,26.8,7.7,-33.3,2.8,0.13,133
Myanmar,314,-5.2,21.9,5.5,27.98,48.5,11.0,-17.0,12.2,0.18,86
Namibia,414,3.1,10.3,13.6,25.90,60.7,22.1,-26.9,7.2,0.10,106
Nauru,"2,178",5.4,20.6,...,33.11,7.8,59.4,-51.6,1.4,...,...
Nepal,55,2.1,4.8,9.7,8.19,83.2,6.8,-64.6,3.1,3.60,131
Netherlands,"5,783",1.1,11.4,57.9,12.42,78.5,56.5,4.9,8.2,0.18,10
New Caledonia,"4,474",8.4,14.8,...,20.15,97.9,54.0,-19.0,3.4,...,...
New Zealand,"3,584",-4.7,8.5,19.2,11.55,50.3,22.2,-24.2,8.6,0.25,48
Nicaragua,348,4.4,15.1,13.0,21.71,56.0,25.3,-30.3,11.5,0.22,95
Niger,41,7.0,6.8,0.2,14.77,35.1,37.7,-36.4,7.6,0.35,139
Nigeria,209,1.7,8.4,3.5,11.91,11.6,20.1,-32.0,12.9,0.23,109
North Macedonia,712,3.2,10.8,45.5,14.27,90.3,66.4,-10.0,19.6,0.59,73
Norway,"4,854",0.9,6.1,48.0,24.86,21.9,52.8,-19.3,7.0,0.20,40
Oman,"1,639",3.0,9.5,18.1,42.36,52.1,46.2,-1.2,13.2,1.50,60
Pakistan,194,2.5,12.0,20.9,16.45,74.6,10.9,-17.3,14.9,1.04,81
Palau,153,8.7,1.1,...,2.82,74.8,79.5,-76.5,1.5,...,...
Panama,754,-0.9,4.4,6.3,10.63,61.1,43.8,-27.7,7.7,0.51,96
Papua New Guinea,44,2.7,1.7,...,24.41,30.4,2.6,-2.8,1.2,...,129
Paraguay,"1,270",2.4,19.2,26.6,27.54,23.0,33.9,-44.4,10.3,0.03,87
Peru,806,2.3,12.0,16.1,22.08,54.5,3.9,-4.2,8.4,0.31,66
Philippines,727,4.9,18.5,44.6,22.49,89.6,77.7,-21.9,7.9,0.13,45
Poland,"2,893",4.2,17.0,33.9,20.78,89.0,54.7,2.5,18.7,0.25,21
Portugal,"1,961",-1.1,8.5,25.4,11.49,89.7,45.8,-8.1,16.5,0.23,39
Puerto Rico,"13,999",3.1,45.5,86.9,47.79,...,...,...,9.0,...,...
Qatar,"5,158",2.1,8.9,56.0,42.46,43.0,18.6,7.4,5.1,1.41,44
"Korea, Rep. of","10,115",1.6,27.3,71.7,29.83,97.1,75.7,15.9,15.5,0.13,4
"Moldova, Rep. of",299,-1.2,9.8,11.8,12.19,69.0,37.2,-41.2,7.6,0.71,111
Romania,"1,875",-0.1,15.0,52.5,17.47,88.8,64.1,-11.9,19.5,0.29,35
Russian Federation,"1,456",4.8,13.1,42.2,23.30,49.8,32.6,-5.7,14.0,1.27,33
Rwanda,89,9.6,8.3,16.1,11.11,39.2,12.7,-39.9,4.7,0.35,136
Saint Kitts and Nevis,898,-0.5,4.1,...,5.57,91.1,73.8,-72.2,1.8,...,...
Saint Lucia,394,2.1,3.3,...,6.88,80.4,23.2,-50.0,4.5,...,137
St. Vincent and the Grenadines,343,0.9,3.6,...,7.50,78.1,59.8,-68.1,...,...,...
Samoa,154,1.7,3.7,...,6.32,71.6,60.4,-72.7,6.0,...,...
San Marino,"17,414",0.4,33.5,...,33.47,...,...,...,25.4,...,...
Sao Tome and Principe,107,1.7,6.5,...,9.39,45.2,60.2,-68.4,6.4,...,...
Saudi Arabia,"2,845",4.4,12.2,38.3,32.17,40.8,50.8,-12.5,8.9,1.03,41
Senegal,238,4.2,15.7,17.9,19.82,54.3,11.4,-31.3,15.3,0.41,104
Serbia,"1,094",3.4,13.9,30.4,20.22,83.2,47.7,-2.9,18.2,0.39,58
Seychelles,774,4.0,4.9,...,7.10,67.8,11.4,-41.9,5.3,...,...
Sierra Leone,60,2.4,5.3,...,11.79,85.2,10.7,-9.4,4.1,...,...
Singapore,"14,322",3.7,20.7,82.4,21.83,93.4,69.9,8.4,9.0,0.16,9
Sint Maarten (Dutch part),740,5.1,2.5,...,6.19,13.4,47.3,-72.7,...,...,...
Slovakia,"3,936",4.9,20.3,51.2,22.78,94.0,73.2,7.8,16.7,0.46,25
Slovenia,"5,395",1.9,20.6,50.5,24.16,92.2,76.4,2.2,22.6,0.14,31
Solomon Islands,144,0.1,7.4,...,10.33,85.7,1.6,-17.1,5.5,...,...
Somalia,12,5.1,2.2,...,2.81,11.4,42.5,-64.2,10.7,...,...
South Africa,640,-0.9,11.2,25.8,17.47,63.1,46.2,-4.3,...,0.96,53
South Sudan,16,-19.3,3.8,...,50.38,10.7,4.1,-44.9,1.0,0.18,...
Spain,"3,271",2.9,11.0,40.8,13.60,77.7,56.6,-2.8,8.3,0.16,22
Sri Lanka,637,5.2,16.0,7.4,19.16,78.2,11.8,-19.1,17.3,0.06,79
State of Palestine,195,-28.3,9.8,7.6,11.74,82.8,14.6,-48.2,12.4,0.04,114
Sudan,83,-20.2,7.0,...,13.04,3.9,21.0,-50.5,2.4,0.18,...
Suriname,951,2.3,13.0,...,16.87,39.9,7.8,-31.1,12.7,0.10,120
Sweden,"7,624",-0.9,14.0,58.6,16.39,88.0,61.1,5.6,9.8,0.07,16
Switzerland,"19,015",1.9,20.9,71.0,22.47,69.8,67.9,9.2,12.2,0.03,7
Syrian Arab Republic,15,-4.2,1.9,10.0,10.81,58.5,23.2,-28.7,14.2,5.60,132
Tajikistan,292,8.1,19.5,2.2,27.48,55.4,8.3,-55.5,5.4,0.52,121
Thailand,"1,638",2.5,25.0,40.2,30.12,86.0,63.2,6.3,15.7,0.46,28
Timor-Leste,20,2.4,1.6,...,9.07,15.7,39.0,-75.2,1.5,...,...
Togo,131,8.1,14.0,1.0,19.02,54.4,23.1,-42.2,14.3,0.16,...
Tonga,184,0.0,4.1,...,7.90,43.0,30.2,-79.4,12.9,...,150
Trinidad and Tobago,"2,099",3.9,14.2,2.8,27.18,63.7,48.3,-12.1,9.0,0.58,67
Tunisia,553,1.3,13.1,28.3,17.08,89.3,48.5,-8.9,19.2,0.72,70
Turkmenistan,"2,185",-0.2,29.2,7.8,30.92,21.9,28.8,-4.9,...,0.97,...
Turks and Caicos Islands,116,-1.0,0.6,...,4.74,65.7,37.2,-64.3,1.4,...,...
Tuvalu,5,1.8,0.1,...,0.95,15.1,62.7,-87.9,10.4,...,...
Türkiye,"2,510",3.3,16.9,35.5,19.42,87.0,45.0,-4.3,19.8,0.35,24
Uganda,143,6.8,15.6,12.2,22.22,28.5,45.4,-42.6,4.3,0.23,118
Ukraine,206,3.3,10.0,28.6,15.14,59.2,25.7,-30.0,13.2,1.60,80
United Arab Emirates,"5,211",6.9,12.4,31.2,31.20,51.9,41.1,-8.2,8.6,1.35,29
United Kingdom,"4,143",1.3,8.8,45.3,11.06,70.4,71.7,-17.0,7.8,0.10,19
Tanzania,97,6.2,8.2,6.1,14.95,25.9,14.0,-51.9,4.4,0.47,128
United States,"6,870",2.7,10.5,48.9,13.65,71.9,66.1,-25.0,9.7,0.17,5
Uruguay,"1,899",1.3,10.0,18.2,12.81,39.5,31.5,-27.0,9.9,0.14,78
Uzbekistan,527,5.3,13.7,26.6,17.71,42.5,36.2,-40.5,8.9,0.82,83
Vanuatu,75,-2.3,2.9,...,5.83,59.4,9.5,-74.9,4.0,...,...
Venezuela (Bolivarian Rep. of),56,3.4,1.4,18.6,13.75,35.8,32.2,-23.9,10.8,5.88,113
Viet Nam,"1,038",10.7,25.9,35.0,30.45,89.8,57.7,4.9,21.7,0.93,30
Yemen,42,-0.6,9.0,2.1,15.66,17.4,35.2,-68.6,5.5,0.62,150
Zambia,107,3.6,8.1,13.5,22.03,19.6,30.3,-34.9,4.9,0.83,124
Zimbabwe,110,-1.8,7.8,21.8,17.67,29.2,24.0,-33.9,4.9,0.89,123
