,MVA per capita 2024 (2015 USD),MVA growth rate 2024 (%),MVA share in GDP 2024 (%),MHT share in MVA 2023 (%),Manuf. share in exports 2024 (%),MHT share in manuf. exports 2024 (%),Norm. manuf. trade balance 2024 (%),Manuf. share in employment 2023 (%),Manuf. CO 2 intensity 2022 (kg/USD)
Geographical regions,,,,,,,,,
World,"1,937",2.9,16.5,51.2,78.7,62.0,...,14.1,0.40
Africa,212,2.2,10.6,17.5,41.0,35.3,-25.0,8.5,0.47
Northern Africa,447,1.4,12.5,29.1,53.4,41.9,-24.8,12.1,0.53
Sub-Saharan Africa,161,2.8,9.6,11.9,35.5,31.0,-25.0,8.0,0.43
Asia and Oceania,"1,862",4.0,22.4,53.8,82.8,62.7,7.4,16.1,0.53
Central Asia,827,3.8,14.5,14.5,26.4,39.5,-32.0,9.3,0.85
Eastern Asia,"4,126",3.9,26.6,58.6,92.8,70.6,17.6,20.8,0.46
South-eastern Asia,"1,106",5.1,21.7,41.6,87.2,60.3,4.3,14.6,0.51
Southern Asia,373,6.2,15.4,37.9,82.7,36.6,-3.9,12.6,1.21
Western Asia,"1,613",3.0,13.0,37.3,54.2,43.3,-9.6,11.5,0.67
Oceania,"2,145",-2.1,5.5,24.9,46.4,15.2,-18.4,5.9,0.33
Northern America and Europe,"5,003",1.3,12.1,50.8,78.8,62.7,-4.7,12.8,0.19
Europe,"4,186",0.4,14.1,52.8,81.8,62.3,2.3,14.5,0.20
Northern America,"6,584",2.5,10.4,48.3,69.0,64.3,-23.0,9.9,0.18
Latin America and the Caribbean,"1,191",1.1,13.2,35.1,63.2,56.8,-10.8,12.0,0.30
Caribbean,"1,703",2.6,19.5,61.6,73.1,40.1,-40.5,8.0,0.45
Central America,"1,695",1.3,18.7,40.2,82.1,76.2,-4.1,15.8,0.18
South America Groups by income and stage of industrial development,928,0.7,10.2,26.8,45.0,24.5,-15.6,10.9,0.38
High income,"5,591",1.3,13.4,53.6,78.2,64.6,-2.8,12.9,0.21
High-income industrial economies,"5,755",1.2,13.6,54.2,80.2,64.7,-2.4,13.2,0.18
High-income industrializing economies,"2,699",3.9,9.2,35.8,62.5,64.5,-6.0,7.2,1.13
Middle income,"1,310",4.5,21.5,48.9,80.3,57.3,5.0,15.3,0.60
Middle-income industrial economies,"2,846",4.6,24.9,53.6,88.3,62.5,13.9,19.9,0.54
Middle-income industrializing economies,442,4.2,14.3,29.8,57.6,34.9,-15.8,11.9,0.80
Low income Selected regional groups,64,2.0,9.0,11.7,26.9,15.1,-42.1,5.7,0.34
Common Market for Eastern and Southern Africa (COMESA),174,1.8,11.0,25.1,45.3,30.8,-32.1,6.2,0.51
ECCAS,128,4.6,10.5,3.6,21.1,16.1,-21.3,6.0,0.14
Economic Community of West African States (ECOWAS),204,2.8,9.3,5.8,20.7,15.7,-28.0,12.3,0.23
East African Community (EAC),95,4.6,10.0,10.9,31.3,13.6,-39.7,5.5,0.27
Southern African Development Community (SADC),187,1.2,10.1,18.0,45.4,35.2,-17.4,5.5,0.65
Caribbean Community (CARICOM),438,0.7,7.6,7.2,32.6,40.6,-30.9,7.0,0.39
Southern Common Market (MERCOSUR),941,0.8,9.9,30.2,44.7,32.6,-15.9,11.3,0.42
United States Mexico Canada Agreement (USMCA),"5,447",2.4,10.9,47.8,71.8,67.8,-19.3,11.6,0.18
Association of Southeast Asian Nations (ASEAN),"1,108",5.1,21.7,41.6,87.2,60.3,4.3,14.6,0.51
Gulf Cooperation Council (GCC),"3,262",4.1,11.7,36.0,49.7,41.1,-6.2,7.9,1.15
Eurasian Economic Union (EAEU),"1,394",4.9,13.2,38.9,48.0,34.9,-9.0,13.2,1.16
European Union,"5,289",-0.3,15.2,54.0,86.9,62.9,5.0,15.6,0.13
Other groups Emerging industrial economies,"1,641",5.1,25.3,53.5,91.2,59.2,16.7,16.4,0.64
Least developed countries (LDCs),175,3.6,14.8,12.0,45.9,11.5,-26.6,7.7,0.28
