,Description
ISIC Rev. 3,
24,Manufacture of chemicals and chemical products
29,Manufacture of machinery and equipment n.e.c.
30,"Manufacture of office, accounting and computing machinery"
31,Manufacture of electrical machinery and apparatus n.e.c.
32,"Manufacture of radio, television and communication equipment and apparatus"
33,"Manufacture of medical, precision and optical instruments, watches and clocks"
34,"Manufacture of motor vehicles, trailers and semi-trailers"
35 ISIC Rev. 4,"Manufacture of other transport equipment, excluding 351 = Building and repairing of ships and boats"
20,Manufacture of chemicals and chemical products
21,Manufacture of basic pharmaceutical products and pharmaceutical preparations
252,Manufacture of weapons and ammunition
26,"Manufacture of computer, electronic and optical products"
27,Manufacture of electrical equipment
28,Manufacture of machinery and equipment n.e.c.
29,"Manufacture of motor vehicles, trailers and semi-trailers"
30,Manufacture of other transport equipment excluding 301 = Building of ships and boats
325,Manufacture of medical and dental instruments and supplies
SITC Rev. 3,SITC Rev. 3
266,Synthetic fibres suitable for spinning
267,Other man-made fibres suitable for spinning; waste of man-made fibres
512,"Alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives"
513,"Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives"
525,Radioactive and associated materials
533,"Pigments, paints, varnishes and related materials"
541,"Medicinal and pharmaceutical products, other than medicaments of group 542"
542,Medicaments (including veterinary medicaments)
553,"Perfumery, cosmetic or toilet preparations (excluding soaps)"
554,"Soap, cleansing and polishing preparations"
562,Fertilizers (other than those of group 272)
571,"Polymers of ethylene, in primary forms"
572,"Polymers of styrene, in primary forms"
573,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms"
574,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms"
575,"Other plastics, in primary forms"
579,"Waste, parings and scrap, of plastics"
581,"Tubes, pipes and hoses, and fittings therefor, of plastics"
582,"Plates, sheets, film, foil and strip, of plastics"
583,"Monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked, of plastics"
591,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products and plant-growth regulators, disinfectants and similar products, put up in forms or packings for retail sale or as preparations or articles (e.g., sulphur-treated bands, wicks and"
593,Explosives and pyrotechnic products
597,Prepared additives for mineral oils and the like; prepared liquids for hydraulic transmission; anti-freezing preparations and prepared de-icing fluids; lubricating preparations
598,"Miscellaneous chemical products, n.e.s."
653,"Fabrics, woven, of man-made textile materials (not including narrow or special fabrics)"
671,"Pig-iron, spiegeleisen, sponge iron, iron or steel granules and powders and ferro-alloys"
672,"Ingots and other primary forms, of iron or steel; semi-finished products of iron or steel"
678,Wire of iron or steel
711,"Steam or other vapour-generating boilers, superheated water boilers, and auxiliary plant for use therewith; parts thereof"
712,"Steam turbines and other vapour turbines, and parts thereof, n.e.s."
713,"Internal combustion piston engines, and parts thereof, n.e.s."
714,"Engines and motors, non-electric (other than those of groups 712, 713 and 718); parts, n.e.s., of these engines and motors"
716,"Rotating electric plant, and parts thereof, n.e.s."
718,"Power-generating machinery, and parts thereof, n.e.s."
721,"Agricultural machinery (excluding tractors), and parts thereof"
722,Tractors (other than those of headings 744.14 and 744.15)
