0,1,2,3
Africa,Americas,"China, Hong Kong SAR",Northern Europe
Central Africa,Caribbean,"China, Macao SAR",Denmark
Angola,Anguilla,"China, Taiwan Province",Estonia
Cameroon,Antigua and Barbuda,Democratic People's Republic of Korea,Finland
Central African Republic,Aruba,Japan,Iceland
Chad,Bahamas,Mongolia,Ireland
Congo,Barbados,Republic of Korea,Latvia
Democratic Republic of the Congo,British Virgin Islands,South-eastern Asia,Lithuania
Equatorial Guinea,Cayman Islands,Brunei Darussalam,Norway
Gabon,Cuba,Cambodia,Sweden
Sao Tome and Principe,Curaçao,Indonesia,United Kingdom
Eastern Africa,Dominica,Lao People's Democratic Republic,Southern Europe
Burundi,Dominican Republic,Malaysia,Albania
Comoros,Grenada,Myanmar,Andorra
Djibouti,Haiti,Philippines,Bosnia and Herzegovina
Eritrea,Jamaica,Singapore,Croatia
Ethiopia,Montserrat,Thailand,Greece
Kenya,Puerto Rico,Timor-Leste,Italy
Madagascar,Saint Kitts and Nevis,Viet Nam,Kosovo
Malawi,Saint Lucia,Southern Asia,Malta
Mauritius,Saint Vincent and the Grenadines,Afghanistan,Montenegro
Mozambique,Sint Maarten (Dutch part),Bangladesh,North Macedonia
Rwanda,Trinidad and Tobago,Bhutan,Portugal
Seychelles,Turks and Caicos Islands,India,San Marino
Somalia,Central America,Iran (Islamic Republic of),Serbia
South Sudan,Belize,Maldives,Slovenia
Uganda,Costa Rica,Nepal,Spain
United Republic of Tanzania,El Salvador,Pakistan,Western Europe
Zambia,Guatemala Honduras,Sri Lanka,Austria
Zimbabwe,,Western Asia,Belgium France
Northern Africa,Mexico Nicaragua,Armenia,Germany
Algeria,,Azerbaijan,
Egypt Libya,Panama Northern America,Bahrain Cyprus,Liechtenstein Luxembourg
Morocco,Bermuda,Georgia,Monaco
Tunisia,Greenland,Israel,Switzerland
Southern Africa,United States of America,Jordan,Oceania
Botswana,South America,Kuwait,Australia and New Zealand
Eswatini,Argentina,Lebanon,Australia
Lesotho,Bolivia (Plurinational State of),Oman,New Zealand
Namibia,Brazil,Qatar,Melanesia
South Africa,Chile,Saudi Arabia,Fiji
Western Africa,Colombia,State of Palestine,New Caledonia
Benin,Ecuador,Syrian Arab Republic,Papua New Guinea
Burkina Faso,Guyana,Türkiye,Solomon Islands
Cabo Verde,,Emirates,Vanuatu
Côte d'Ivoire,Paraguay Peru,United Arab Yemen,Micronesia
Gambia,Suriname,Europe,Kiribati
Ghana,Uruguay,Eastern Europe,Marshall Islands
Guinea,Venezuela (Bolivarian Republic,Belarus,Micronesia (Federated
Guinea-Bissau,Asia,Bulgaria,Nauru
Mali,Kazakhstan,Hungary,Polynesia
Mauritania,Kyrgyzstan,Poland,Cook Islands
Niger,Tajikistan,Republic of Moldova,French Polynesia
Nigeria,Turkmenistan,Romania,Samoa
Senegal,Uzbekistan,Russian Federation,Tonga
Sierra Leone,Eastern Asia,Slovakia,Tuvalu
Togo,China,Ukraine,
