Landlocked developing countries (LLDCs).Afghanistan,Landlocked developing countries (LLDCs).Ethiopia,North Macedonia
Armenia,Kazakhstan,Paraguay
Azerbaijan,Kyrgyzstan,Rwanda
Bhutan,Lao People's Dem. Rep,South Sudan
Bolivia (Plurinational State of),Lesotho,Tajikistan
Botswana,Malawi,Turkmenistan
Burkina Faso,Mali,Uganda
Burundi,"Moldova, Rep. of",Uzbekistan
Central African Republic,Mongolia,Zambia
Chad,Nepal,Zimbabwe
Eswatini,Niger,
Small island developing States (SIDS),Small island developing States (SIDS),
Anguilla,Grenada,Saint Kitts and Nevis
Antigua and Barbuda,Guinea-Bissau,Saint Lucia
Aruba,Guyana,Samoa
Bahamas,Haiti,Sao Tome and Principe
Barbados,Jamaica,Seychelles
Belize,Kiribati,Singapore
British Virgin Islands,Maldives,Sint Maarten (Dutch part)
Cabo Verde,Marshall Islands,Solomon Islands
Comoros,Mauritius,St. Vincent and the Grenadines
Cook Islands,"Micronesia, Fed. States of",Suriname
Cuba,Montserrat,Timor-Leste
Curaçao,Nauru,Tonga
Dominica,New Caledonia,Trinidad and Tobago
Dominican Republic,Palau,Tuvalu
Fiji,Papua New Guinea,Vanuatu
French Polynesia,Puerto Rico,
