0,1
2.1,Recent trends in industrial sectors . . . . . . . . . . . . . . . . . . 13
2.1.1 Annual industrial production,. . . . . . . . . . . . . . . . . . . . . 13
2.1.2 Quarterly industrial production,. . . . . . . . . . . . . . . . . . . . 18
2.2 SDG 9 . . . . . . . . . . . .,. . . . . . . . . . . . . . . . . . . . . . 20
2.2.1 SDG 9.2 . . . . . . . . . . .,. . . . . . . . . . . . . . . . . . . . . . 20
2.2.2 SDG 9.3 . . . . . . . . . . .,. . . . . . . . . . . . . . . . . . . . . . 22
2.2.3 SDG 9.4 . . . . . . . . . . .,. . . . . . . . . . . . . . . . . . . . . . 25
2.2.4 SDG 9.b . . . . . . . . . . .,. . . . . . . . . . . . . . . . . . . . . . 27
2.2.5 Overall performance towards SDG 9 industry targets,. . . . . . . . 29
2.3 Competitive industrial,performance . . . . . . . . . . . . . . . . . 32
2.3.1 Global results . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 32,2.3.1 Global results . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 32
2.3.2 CIP results by UNIDO country group . . . . . . . . . . . . . . . .,2.3.2 CIP results by UNIDO country group . . . . . . . . . . . . . . . .
2.3.3 Regional competitiveness . . . . . . . . . . . . . . . . . . . . . .,2.3.3 Regional competitiveness . . . . . . . . . . . . . . . . . . . . . .
