0,1,2
3.1,Current trends and distribution of world manufacturing .,. . . . 42
3.1.1 Annual manufacturing production,. . . . . . . . . . . . .,. . . . 42
3.1.2 Quarterly manufacturing production .,. . . . . . . . . . .,. . . . 47
3.2,Structure and transformation of manufacturing industries,. . . . 52
3.3,The manufacturing sector trade . . . . . . . . . . . . . .,. . . . 61
"3.3.1 Global, regional, and country-level performance",. . . . .,. . . . 61
3.3.2 Structure of global and regional manufacturing trade .,.,. . . . 64
3.3.3 Manufacturing trade balance,. . . . . . . . . . . . . . . .,. . . . 69
3.4,Manufacturing employment and labour productivity . . .,. . . . 72
3.5,Gender and manufacturing . . . . . . . . . . . . . . . . .,. . . . 77
3.6,Environmental impact of manufacturing . . . . . . . . . .,. . . . 82
