,2022.Per cent,2023.Per cent,2024.Per cent,2025f.Per cent
World UNIDO groups by stage of industrial development,2.2,1.6,2.9,2.8
High-income industrial economies,1.4,-0.5,1.2,1.2
High-income industrializing economies,6.5,-1.8,3.9,5.8
Middle-income industrial economies,2.8,3.6,4.6,4.3
Middle-income industrial economies (excl. China),3.6,0.8,3.2,2.6
China,2.6,4.2,4.9,4.6
Middle-income industrializing economies,3.1,4.4,4.2,4.6
Low-income economies Main regions,1.7,1.8,2.0,4.4
Africa,4.4,1.3,2.2,3.2
Asia and Oceania,2.4,3.1,4.0,4.0
Europe,2.1,-1.1,0.4,1.1
Latin America and the Caribbean,2.8,-0.4,1.1,1.2
Northern America Other groups,1.1,0.2,2.5,1.1
Emerging industrial economies,2.6,4.7,5.1,4.9
Least developed countries (LDCs),7.1,5.4,3.6,3.5
Landlocked developing countries (LLDCs),5.4,4.0,3.9,4.2
Small island developing States (SIDS),1.8,-2.8,3.2,0.4
