Manufacturing industry.,2024 Q4.Per cent,2024 Q1.Per cent,2025 Q2 2025.Per cent,Per cent
10 Food products,0.7,0.9,1.2,0.1
11 Beverages,-0.2,-0.3,1.2,-0.7
12 Tobacco products,1.2,-0.9,0.1,1.0
13 Textiles,0.6,0.5,0.7,-0.6
14 Wearing apparel,0.8,0.3,-0.3,-1.2
15 Leather and related products,0.4,-0.5,0.4,-0.4
"16 Wood products, excluding furniture",0.3,0.6,1.3,-1.0
17 Paper and paper products,0.0,0.1,0.0,-0.3
18 Printing and reproduction of recorded media,-0.6,-1.3,1.9,-0.8
19 Coke and refined petroleum products,0.1,0.8,-0.2,1.2
20 Chemicals and chemical products,0.6,1.1,1.1,0.7
"21 Pharmaceuticals,medicinal chemicals, etc.",2.2,-1.3,1.3,-0.2
22 Rubber and plastics products,0.1,0.2,1.1,0.2
23 Other non-metallic mineral products,-0.8,0.9,0.6,-0.7
24 Basic metals,0.4,1.1,1.1,1.3
"25 Fabricated metal products, except machinery",0.6,0.5,0.6,0.2
"26 Computer, electronic and optical products",2.1,2.5,2.3,3.5
27 Electrical equipment,1.6,2.5,2.3,1.1
28 Machinery and equipment n.e.c.,0.2,1.3,0.3,0.7
"29 Motor vehicles, trailers and semi-trailers",0.6,0.9,0.3,1.7
30 Other transport equipment,0.2,-0.5,6.1,3.3
31 Furniture,-0.5,-0.6,0.6,-1.5
32 Other manufacturing,0.0,0.5,0.8,-0.3
33 Repair and installation of machinery,0.7,0.9,1.7,0.6
