,2000,2023,,2000,2023,,2000,2023
"26 Computer, electronic and products",optical,,"26 Computer, electronic and products",optical,,"26 Computer, electronic and products",optical,
China,14.5,43.6,China,14.5,43.6,China,14.5,43.6
United States,10.5,11.0,United States,10.5,11.0,United States,10.5,11.0
"Korea, Rep. of",6.3,9.7,"Korea, Rep. of",6.3,9.7,"Korea, Rep. of",6.3,9.7
"China, Taiwan Prov.",3.9,6.7,"China, Taiwan Prov.",3.9,6.7,"China, Taiwan Prov.",3.9,6.7
Ireland,3.9,4.7,Ireland,3.9,4.7,Ireland,3.9,4.7
27 Electrical equipment,,,27 Electrical equipment,,,27 Electrical equipment,,
China,9.6,58.7,China,9.6,58.7,China,9.6,58.7
United States,24.9,8.6,United States,24.9,8.6,United States,24.9,8.6
Japan,13.0,5.6,Japan,13.0,5.6,Japan,13.0,5.6
Germany,9.6,5.3,Germany,9.6,5.3,Germany,9.6,5.3
"Korea, Rep. of",3.6,2.5,"Korea, Rep. of",3.6,2.5,"Korea, Rep. of",3.6,2.5
28 Machinery and equipment,n.e.c.,,28 Machinery and equipment,n.e.c.,,28 Machinery and equipment,n.e.c.,
China,8.1,38.0,China,8.1,38.0,China,8.1,38.0
United States,20.9,10.1,United States,20.9,10.1,United States,20.9,10.1
Japan,17.1,9.4,Japan,17.1,9.4,Japan,17.1,9.4
Germany,13.3,8.9,Germany,13.3,8.9,Germany,13.3,8.9
Italy,7.2,3.9,Italy,7.2,3.9,Italy,7.2,3.9
"29 Motor vehicles, trailers",and semi-trailers,,"29 Motor vehicles, trailers",and semi-trailers,,"29 Motor vehicles, trailers",and semi-trailers,
China,5.3,32.2,China,5.3,32.2,China,5.3,32.2
United States,19.5,13.0,United States,19.5,13.0,United States,19.5,13.0
Japan,22.2,11.4,Japan,22.2,11.4,Japan,22.2,11.4
Germany,14.0,8.3,Germany,14.0,8.3,Germany,14.0,8.3
Mexico,4.1,5.2,Mexico,4.1,5.2,Mexico,4.1,5.2
30 Other transport equipment,,,30 Other transport equipment,,,30 Other transport equipment,,
United States,40.0,29.7,United States,40.0,29.7,United States,40.0,29.7
China,5.0,21.3,China,5.0,21.3,China,5.0,21.3
United Kingdom,7.5,5.2,United Kingdom,7.5,5.2,United Kingdom,7.5,5.2
Germany,3.3,4.9,Germany,3.3,4.9,Germany,3.3,4.9
France,4.7,4.4,France,4.7,4.4,France,4.7,4.4
31 Furniture,,,31 Furniture,,,31 Furniture,,
China,4.7,24.2,China,4.7,24.2,China,4.7,24.2
United States,31.4,17.1,United States,31.4,17.1,United States,31.4,17.1
Italy,6.8,4.4,Italy,6.8,4.4,Italy,6.8,4.4
Germany,6.8,4.3,Germany,6.8,4.3,Germany,6.8,4.3
Japan,5.7,3.2,Japan,5.7,3.2,Japan,5.7,3.2
32 Other manufacturing,,,32 Other manufacturing,,,32 Other manufacturing,,
United States,39.5,26.6,United States,39.5,26.6,United States,39.5,26.6
China,8.7,25.0,China,8.7,25.0,China,8.7,25.0
Germany,6.3,6.3,Germany,6.3,6.3,Germany,6.3,6.3
Ireland,2.3,5.9,Ireland,2.3,5.9,Ireland,2.3,5.9
Japan,7.5,4.7,Japan,7.5,4.7,Japan,7.5,4.7
,,,,,,,,
