0,1,2,3,4
Foreword,Foreword,Foreword,Foreword,v
Acknowledgements,Acknowledgements,Acknowledgements,Acknowledgements,vi
Abbreviations,Abbreviations,Abbreviations,Abbreviations,vii
Introduction,Introduction,Introduction,Introduction,1
Key messages,Key messages,Key messages,Key messages,3
"1. Changeandinequality in healthy longevity, andthecontributing causes","1. Changeandinequality in healthy longevity, andthecontributing causes","1. Changeandinequality in healthy longevity, andthecontributing causes","1. Changeandinequality in healthy longevity, andthecontributing causes",5
,1.1,Change in HALE between 2000 and 2019,Change in HALE between 2000 and 2019,7
,,1.1.1,Global,7
,,1.1.2,WHOregions,8
,1.2,Change in HALE during the COVID-19 pandemic in 2019-2021,Change in HALE during the COVID-19 pandemic in 2019-2021,10
,,1.2.1,Change attributed to mortality,10
,,1.2.2,Change attributed to morbidity,11
,1.3,Gap in HALE between males and females in 2019 and 2021,Gap in HALE between males and females in 2019 and 2021,12
,,1.3.1,Global,12
,,1.3.2,WHOregions,14
,1.4,Gapin HALEbetween high-income and other income groups in 2019 and 2021,Gapin HALEbetween high-income and other income groups in 2019 and 2021,15
,1.5,Progress in premature mortality reduction,Progress in premature mortality reduction,17
,,1.5.1,The prospect of premature mortality by 2050,18
,References,,,20
2.,Health-related Sustainable Development Goals,Health-related Sustainable Development Goals,Health-related Sustainable Development Goals,21
,2.1,Mortality-related Sustainable Development Goal indicators,Mortality-related Sustainable Development Goal indicators,22
,,2.1.1,Maternal and child mortality,22
,,2.1.2,Mortality due to noncommunicable diseases,24
,,2.1.3,Mortality due to injuries,25
,,2.1.4,Mortality attributable to environmental risk factors,27
,2.2 Infectious diseases,2.2 Infectious diseases,2.2 Infectious diseases,29
,,2.2.1,HIV,29
,,2.2.2,Tuberculosis,30
,,2.2.3,Malaria,31
,,2.2.4,Hepatitis B,31
,,2.2.5,Neglected tropical diseases,32
,,2.2.6,Antimicrobial resistance,33
2.3,Risk factors for health,Risk factors for health,Risk factors for health,34
,,2.3.1,Nutritional risk factors,34
,,2.3.2,Behavioural risk factors,36
,,2.3.3,Environmental risk factors,38
,,2.3.4 Risks to girls',and women's health,40
