0,1,2
2.4,systems,41
,Universal health coverage and health 2.4.1 Service delivery 2.4.2 Health financing,41 45 48
References Progress in achieving the Triple Billion targets,References Progress in achieving the Triple Billion targets,51
3. 3.1,Triple Billion targets progress,52
3.2,Progress in healthier populations,53
,3.3 Progress in universal health coverage,54
3.4,Progress in health emergencies protection,54
3.5,Forecast to 2030 and scenarios,55
3.6,Conclusion,57
,References,58
4.,Inequality in immunization,59
4.1 4.2,The importance of vaccine equity Inequalities in immunization coverage persist within,60
,countries Howinequalities have changed over time,60
4.3,,65
4.4,Barriers to immunization,66
4.5,Data availability to monitor inequalities in immunization,67
References,References,68
Annexes,Annexes,69
Annex 1. Progress assessment of selected health-related SDGindicators by WHOregion,Annex 1. Progress assessment of selected health-related SDGindicators by WHOregion,70
Annex 2. Summary of methodology,Annex 2. Summary of methodology,75
