0,1
ABR,adolescent birth rate
AMR,antimicrobial resistance
APC,alcohol per capita consumption
ARIs,acute respiratory infections
ARR,annual rate of reduction
ART,antiretroviral therapy
ASR,age-standardized death rate
CDR,crude death rate
COVID-19,coronavirus disease
DHS,Demographic and Health Survey(s)
DTP3,diphtheria-tetanus-pertussis vaccine third dose
GLASS,Global Antimicrobial Resistance and Use Surveillance System
GPW13,Thirteenth General Programme of Work
GPW14,Fourteenth General Programme of Work
GTS,Global technical strategy for malaria 2016-2030
HALE,healthy life expectancy
HIC,high-income country
IA2030,Immunization Agenda 2030
IHRs,international health regulations
IQR,interquartile range
LIC,low-income country
LMIC,lower-middle-income country
MCV2,measles-containing vaccine second dose
MIC,middle-income country
MICS,Multiple Indicator Cluster Survey(s)
MMR,maternal mortality ratio
