Western Pacific Region,98,0.07,97,,2.3,0.3,74.0,15.7,9.5,5.2 15.4,22.5,,92,90,26,7
Eastern Mediterranean Region,85,0.09,116,79,0.8,78.0,22.7,3.6,0.2,16.3,17.9,79,73,52,,2
European Region,99,0.18,24,95,0.3,5.9,16.3,12.4,9.1,6.8,25.3,95,91,86,,35
South-East Asia Region,90,0.06,234,90,0.4,787.7,22.9,10.1,3.6,15.4,26.5,90,85,75,,8
Region of the Americas,96,0.16,33,86,0.1,30.7,13.9,9.9,8.0,14.2,16.6,86,75,76,,55
African Region,74,0.55,206,74,2.5,518.6,21.0,7.3,3.5,19.5,9.5,74,49,70,,32
Global,87,0.17,134,84,0.9,1495,18.0,9.2,5.0,14.9,20.9,84,,74,65,20
Year Target,90,Reducenew infections by 90%,Reduceby80%,90,0.1,Reduceby90%,Reduce by 1/3,Reduce by 1/3,Reduceby20%,Halve the number of deaths,Reduceby30%,90,90,,90,90
Most recent estimate,2024,2023,2023,,2020,2023,,2019 2021,2022,2021,2022,,2023,2023,2023,2023
Target,2025,2030,2030,2025,2030,2030,,2030 2030,2030,2030,,2025,2030,2030,2030,2030
Year Target,2015,d 2010,2015,h 2010,e 2015,f 2010,,2015,2015,2010 g,2021,h 2010,2019,2019,i 2019,i 2019
Year Target,3.1.2 Proportion of births attended by skilled health personnel (%),3.3.1 NewHIV infections (per 1000 uninfected population),3.3.2 Tuberculosis incidence (per 100 000 population),3.a.1 Age-standardized prevalence of current tobacco use amongpersons 15 years and older (%),3.3.4 Hepatitis Bsurface antigen (HBsAg) prevalence amongchildren under 5 years (%),3.3.5 Reported number of people requiring interventions against,NTDs (millions) 3.4.1 Probability of dying between exact ages 30 and 70 from any of,"cardiovascular disease, cancer, diabetes or chronic respiratory illness (%) 3.4.2 Suicide mortality rate (per 100 000 population)",3.5.2 Total alcohol per capita (aged 15 years and older) consumption,(litres of pure alcohol) 3.6.1 Death rate due to road traffic injuries (per 100 000 population),,3.a.1 Age-standardized prevalence of current tobacco use amongpersons 15 years and older (%),3.b.1 Diphtheria-tetanus-pertussis third-dose (DTP3) immunization coverage among1-year-olds (%),3.b.1 Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locallyrecommendedage(%),3.b.1 Pneumococcal conjugate vaccine third-dose (PCV3) immunization coverage among1-year-olds (%),3.b.1 Humanpapillomavirus (HPV) immunization coverage estimates among 15-year-old girls (%)
