Indicator,Reason for exclusion
3.1.1 Maternal mortality ratio,Target set at the global level; progress not assessed at the regional level
3.2.1 Under-5 mortality rate,Target set at the country level; progress not assessed at the regional level
3.2.2 Neonatal mortality rate,Target set at the country level; progress not assessed at the regional level
"3.5.1 Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",Noexplicit numerical target
3.7.1 Proportion of womenof reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Noexplicit numerical target
3.7.2 Adolescent birth rate,Noexplicit numerical target
3.8.1 Coverage of essential health services,Noexplicit numerical target
3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income,Noexplicit numerical target
3.9.1 Mortality rate attributed to household and ambient air pollution,Noexplicit numerical target
"3.9.2 Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Noexplicit numerical target
3.9.3 Mortality rate attributed to unintentional poisoning,Noexplicit numerical target
3.b.3 Health product access index,Noexplicit numerical target
3.c.1. Health worker density and distribution,Noexplicit numerical target
3.d.1 International Health Regulations (IHR) capacity and health emergency preparedness,Noexplicit numerical target
3.d.2 Percentage of bloodstream infections due to selected antimicrobial- resistant organisms,Noexplicit numerical target
1.a.2 Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Noexplicit numerical target
"5.2.1 Proportion of ever-partnered womenandgirls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months (%)",Trend data not available
5.2.2 Proportion of womenandgirls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in lifetime (%),Trend data not available
6.3.1 Proportion of domestic and industrial wastewater flows safely treated (%),Baseline data not available
11.6.2 Annual meanconcentrations of fine particulate matter (PM2.5) in urban areas (μg/m 3 ),Noexplicit numerical target
16.1.1 Mortality rate due to homicide (per 100 000 population),Noexplicit numerical target
