0,1
Foreword,3
Glossary of Terms,5
General rules with Respect to Protection of Personal Data,10
"Collection, Use and Disclosure of Personal Data",11
Consent,11
Deemed Consent,13
Withdrawal of Consent,15
Purpose,16
Notification of Purpose,17
Access to and Correction of Personal Data,19
Access to Personal Data,19
Correction of Personal Data,22
Preservation of Copies of Personal Data,24
Care of Personal Data,25
Retention of Personal Data,25
Responsibilities of Public Officers,26
Annexes,27
"Annex A - Collection, Use and Disclosure of Personal Data without Consent",28
"Annex B - Additional Bases for Collection, Use and Disclosure of Personal Data Without Consent",37
Annex C - Exceptions from Access Requirement,40
Annex D - Exceptions from Correction Requirement,42
Change Log,43
