07,Individual,"A natural person, whether living or deceased"
08,Investigation,An investigation relating to:
09,National interest,"Includes national defence, national security, public security, the maintenance of essential services and the conduct of international affairs"
10,Non-Government entity,Refers to a person other than an agency
11,Organisation,"Any individual, company, association or body of persons, corporate or unincorporated, whether or not- (a) formed or recognised under the law of Singapore; or (b) resident, or having an office or a place of business, in Singapore."
12,Personal data,"Data, whether true or not, about an individual who can be identified -"
13,Private trust,"A trust for the benefit of one or more designated individuals who are friends, or members of the family, of the settlor"
14,Proceedings,"Any civil, criminal or administrative proceedings by or before a court, tribunal or regulatory authority that is related to the allegation of- (a) a breach of an agreement; (b) a contravention of any written law or any rule of professional conduct or other requirement imposed by any regulatory authority in exercise of its powers under any written law; or (c) a wrong or a breach of a duty for which a remedy is claimed under any law."
15,Processing,"Refers to the carrying out of any operation or set of operations in relation to the personal data, and includes any of the following: (a) collection; (b) compilation; (c) recording; (d) holding; (e) organisation, adaptation or alteration; (f) storage; (g) retrieval; (h) combination; (i) transmission; or (j) erasure or destruction."
16,Publicly available,"In relation to personal data about an individual, means personal data that is generally available to the public, and includes personal data which can be observed by reasonably expected means at a location or an event- (a) at which the individual appears; and"
