,2025.Fatal,2025.Major,2025.Minor [N],2025.Fatal& Major
Number of Workplace Injury [N],2,74,"1,277",76
"Injury Rate [N] (Per 100,000 workers)",2.2,82.4,"1,422",84.6
Number of Occupational Diseases (OD),1,1,1,1
"OD Incidence Rate (Per 100,000 workers) Leading causes",1.1,1.1,1.1,1.1
Vehicular Incidents,2,60,"1,020",62
"Slips, Trips &Falls",0,12,167,12
Over-exertion /Strenuous Movements,0,0,34,0
Others* Work activity at the point of accident,0,2,56,2
Delivery Service,2,62,763,64
Ride-hail of passenger(s),0,12,514,12
