Accidents Type,Root Causes,Common Occurrence,Common incident agent
Administrative &Support Services,Administrative &Support Services,Administrative &Support Services,Administrative &Support Services
"Slips, Trips & Falls",Lack of safety measures,Failure to provide non-slip footwear; Lack of communication on Safe Work (cleaning) methods; Lack of suitable tools provided (e.g. cleaning / drying equipment); Lack of non-slip surface measures in slip-prone area,"Floor/Level Surfaces, Stairs or Steps"
"Slips, Trips & Falls",Non-compliance to safety measures,Use of improper tools (for cleaning/ drying); Not wearing suitable footwear,"Floor/Level Surfaces, Stairs or Steps"
Vehicular Incidents,Unsafe acts by injured/others,Actions by injured or negligence by third party drivers in work-related traffic accidents,Motor vehicles
Falls from Height,Lack of/ inadequate WSHMS,"No RA/SWP for landscaping works carried out, Inadequate maintenance of rope access equipment","Ladder, rope access equipment"
Falls from Height,Lack of/ inadequate WSHMS,Inadequate fall protection plan and proper anchorage for WAH,Other Physical Workplace - Structures
Wholesale &Retail Trade,Wholesale &Retail Trade,Wholesale &Retail Trade,Wholesale &Retail Trade
"Slips, Trips & Falls",Inadequate safety measures and safety procedures,Lack of systems of managing flow of goods; Lack of non-slip surface measures in slip- prone area; Negligence of individuals or other workers,Floor/Level Surfaces; Motor vehicles; Furniture/ Fittings; Stairs/ Steps; Goods& Cargo
"Slips, Trips & Falls",Negligence by workers,lack of situational awareness while working around customers,Floor/Level Surfaces; Motor vehicles; Furniture/ Fittings; Stairs/ Steps; Goods& Cargo
Exposure to/ Contact with Electric Current,No or inadequate control measures or safety procedures.,Inadequate Lock Out Tag Out procedure; No provision or wearing of suitable electrically insulated gloves,Electrical Appliances
Exposure to/ Contact with Electric Current,Inadequate maintenance of equipment,Failure to maintain equipment to protect any person against the risks of electric shock,Electrical Appliances
Falls from Height,Inadequate safety measures and safety procedures,Inadequate safe work procedure for use of ladders; Lack of maintenance of ladders,Ladders
