Industry.,"Total Workplace Injury Rate (Excluding PWs) (per 100,000 workers).2024","Total Workplace Injury Rate (Excluding PWs) (per 100,000 workers).2025","Total Workplace Injury Rate (Excluding PWs) (per 100,000 workers).2024 [N]","Total Workplace Injury Rate (Excluding PWs) (per 100,000 workers).2025 [N]"
All Industries,327,321,601,608
Construction,389,345,523,456
Manufacturing,542,521,857,847
Marine,423,320,650,556
Transportation& Storage,341,358,594,643
Accommodation &Food Services,530,525,"1,130","1,092"
Administrative& Support Services,347,336,603,610
Health & Social Services,560,610,"1,678","1,896"
"Professional, Scientific & Technical Activities",136,155,277,305
Real Estate Services,310,315,515,582
Wholesale & Retail Trade,166,166,299,308
Others,191,185,359,353
