Incident Type (Cause),Incident Agent,2024,2025
Struck By Moving Objects,Total,1,2
Struck By Moving Objects,Pressurised Equipment,0,2
Struck By Moving Objects,Other Incident Agents,1,0
Suffocation /Drowning,Total,7,1
Suffocation /Drowning,Means of Access - Others,0,1
Suffocation /Drowning,Physical Workplace - Confined Space,2,0
Suffocation /Drowning,Other Incident Agents,5,0
Crane-related Incidents,Total,2,1
Crane-related Incidents,Lifting Equipment - Cranes,2,1
Total Workplace Fatal Injuries for Type B,Total Workplace Fatal Injuries for Type B,5,2
Machinery Incidents,Total,1,1
Machinery Incidents,Industrial Machines,1,1
Striking Against Objects,Total,0,1
Striking Against Objects,Lifting Equipment - Mobile Work Platform,0,1
Exposure to/ Contact with Hazardous Substances,Total,2,0
Exposure to/ Contact with Hazardous Substances,Physical Workplace - Confined Space,2,0
Exposure to/ Contact with Electric Current,Total,1,0
Exposure to/ Contact with Electric Current,Electrical Equipment,1,0
Others,Total,1,0
Others,Other Incident Agents,1,0
