Industry,All,Construction,Transportation &Storage,Manufacturing,Administrative &Support Services,Wholesale &Retail Trade,"Professional, Scientific& Technical Activities","Water Supply; Sewerage, Waste Management &Remediation",Activities Marine,Accommodation &Food Services,Platform Workers (PWs)
Total,36,13,7,4,3,2,2,1,1,1,2
Type A,34,12,7,4,2,2,2,1,1,1,2
Vehicular Incidents,15,4,5,1,0,2,0,0,0,1,2
Falls From Height,7,4,0,1,2,0,0,0,0,0,0
Collapse/Failure of Structure& Equipment,6,2,1,2,0,0,1,0,0,0,0
Struck By Moving Objects,2,1,0,0,0,0,0,1,0,0,0
Struck By Falling Objects,2,0,1,0,0,0,1,0,0,0,0
Suffocation /Drowning,1,0,0,0,0,0,0,0,1,0,0
Crane-related Incidents,1,1,0,0,0,0,0,0,0,0,0
Type B,2,1,0,0,1,0,0,0,0,0,0
Machinery Incidents,1,0,0,0,1,0,0,0,0,0,0
Striking Against Objects,1,1,0,0,0,0,0,0,0,0,0
