Incident Type (Cause).Total Workplace Major Injuries for Type A,Incident Agent.Total Workplace Major Injuries for Type A,2024.211,2025.212
Falls From Height,Total,74,78
Falls From Height,Means of Access - Ladders,46,37
Falls From Height,Physical Workplace - Structure,9,17
Falls From Height,Means of Access - Scaffold,8,11
Vehicular Incidents,Total,37,43
- Work-related Traffic,Subtotal,20,25
Accidents,Motor Vehicles,20,25
- In Workplaces,Subtotal,17,18
- In Workplaces,Motor Vehicles,10,11
- In Workplaces,Vehicles - Excavators/ Forklifts/ Reach truck/ Stacker,6,4
Struck by Falling Objects,Total,36,28
Struck by Falling Objects,Metal Items (excluding knives/needles),9,9
Struck by Falling Objects,Furniture & Fittings,8,5
Caught In/ Between Objects,Total,27,26
Caught In/ Between Objects,Metal Items (excluding knives/needles),14,9
Caught In/ Between Objects,Other Incident Agents,3,7
Struck by Moving Objects,Total,24,22
,Metal Items (excluding knives/needles),8,6
,Human Factors,2,3
,Other Incident Agents,3,3
"Slips, Trips & Falls",Total,207,216
"Slips, Trips & Falls",Physical Workplace - Floors/Level Surfaces,71,97
"Slips, Trips & Falls",Means of Access - Stairs or Steps,39,28
"Slips, Trips & Falls",Furniture & Fittings,25,26
Machinery Incidents,Total,76,66
Machinery Incidents,Industrial Machines,65,52
Machinery Incidents,Industrial Hand Tools,9,9
Exposure to/ Contact with Extreme Temperatures,Total,27,24
Exposure to/ Contact with Extreme Temperatures,Hot scalding liquid/Steam,18,17
Exposure to/ Contact with Extreme Temperatures,Metal Items (excluding knives/needles),3,1
Exposure to/ Contact with Electric Current,Total,24,23
Exposure to/ Contact with Electric Current,Electrical Installation,12,11
Exposure to/ Contact with Electric Current,Industrial Machines,6,7
Over-exertion/ Strenuous Movements,Total,17,17
Over-exertion/ Strenuous Movements,Human Factors,6,5
Over-exertion/ Strenuous Movements,Other Incident Agents,2,5
All Industries (Excluding PWs),STF,FFH,MAC
Construction,FFH,STF,VEH
Marine,STF,SBMO,"SBFO, PA"
Manufacturing,MAC,STF,SBFO
Metalworking,MAC,FFH,"SBFO, STF"
"Manufacture of Food, Beverages& Tobacco",STF,MAC,ETET
Manufacture of Furniture,MAC,SBFO,"FFH, OESM, STF"
Manufacture of Petroleum Products& Chemical Products,"CIBO, STF","FFH, ETEC, FE",-
Transportation& Storage,STF,VEH,"MAC, SBFO"
Logistics &Transport,STF,SBFO,"CIBO, FFH, MAC"
Accommodation &Food Service Activities,STF,ETET,"FFH, MAC"
Food &Beverage Service Activities,STF,ETET,MAC
Accommodation,STF,ETEC,Multiple Causes
Administrative& Support Service Activities,STF,"VEH, SAO, OESM",-
Cleaning &Landscape Maintenance Activities,STF,"SAO, OESM",-
Security & Investigation Activities,STF,VEH,OESM
Wholesale& Retail Trade,STF,FFH,"VEH, MAC"
Wholesale Trade,STF,"VEH, MAC",Multiple Causes
Retail Trade,FFH,STF,ETET
Real Estate Activities,STF,"SBFO, OESM",-
"Professional, Scientific& Technical Activities","STF, FFH",ETET,Multiple Causes
"Community, Social & Personal Services",STF,FFH,VEH
Health &Social Services,STF,ETEC,Multiple Causes
Education,STF,SBMO,Multiple Causes
Other Services Activities,STF,FFH,SBMO
