Industry,2024,2025,2024[N],2025[N]
All Industries (Excluding PWs),"11,430","11,361","21,527","22,090"
Manufacturing,"2,185","2,119","3,526","3,524"
Metalworking,833,829,"1,267","1,234"
"Manufacture of Food, Beverages & Tobacco",495,473,845,824
"Manufacture of Computer, Electronic &Optical Products",144,140,268,332
Manufacture of Paper / Rubber / Plastic Products & Printing,127,107,189,171
Construction,"1,917","1,791","2,634","2,415"
Accommodation &Food Service Activities,"1,386","1,361","3,009","2,892"
Food & Beverage Service Activities,873,901,"1,736","1,730"
Accommodation,513,460,"1,273","1,162"
Transportation& Storage Logistics & Transport,859 665,898 703,"1,530 1,204","1,663 1,319"
Administrative& Support Service Activities,822,812,"1,459","1,507"
Cleaning & Landscape Maintenance Activities,411,424,655,702
Security & Investigation Activities,216,218,454,475
Wholesale & Retail Trade,708,708,"1,315","1,348"
Wholesale Trade,337,376,543,582
Retail Trade,371,332,772,766
"Professional, Scientific & Technical Activities",381,422,785,849
Marine,238,192,377,342
Real Estate Activities,240,233,407,441
Financial & Insurance Services,132,128,336,220
"Water Supply; Sewerage, Waste Management & Remediation Activities",184,192,353,372
"Community, Social & Personal Services","2,200","2,343","5,382","6,165"
Health & Social Services,"1,158","1,331","3,540","4,186"
Education,421,445,728,841
Other Services Activities,310,280,559,544
"Arts, Entertainment &Recreation",209,177,375,368
