Workplace Minor Injury Types,2024,2025,2024 [N],2025 [N]
Total (Excluding PWs),"11,430","11,361","21,527","22,090"
Cuts and Bruises,"3,950","3,600","8,108","7,825"
Sprains & Strains,"1,668","1,677","3,454","3,555"
"Crushing, Fractures and Dislocations","2,798","2,749","3,090","3,029"
Burns,363,348,868,830
Bites and Stings,79,115,276,406
Multiple Injuries,250,235,352,361
Puncture Wounds,152,166,254,270
Concussions,53,58,94,101
Exposure to/ Contact with Electric Current,0,1,18,15
Mosquito Borne,8,4,9,4
Others,"2,109","2,408","5,004","5,694"
