0,1
Table 1a:,"Number and rate of workplace injuries and occupational diseases from platform workers, 2025"
Table 1b:,"Number of platform worker injuries by cause of injury and work activity, 2025"
Table 1c:,"Number of TI and PI work injury compensation claims and amount awarded, 2023-2025"
Table 1d:,"Number of fatal and total work injury compensation claims and amount awarded, 2023-2025"
Table 1e:,"Number of fatal and major injuries among workers who were involved in traffic accidents during work and were not vocational drivers, based on work injury claims reported, 2023-2025"
Table 2:,"Rate of total workplace injuries by industry, 2024-2025"
Table 3a:,"Number of workplace fatal injuries by industry/ work activity, 2024-2025"
Table 3b:,"Rate of workplace fatal injuries by industry/ work activity, 2024-2025"
Table 3c:,"Number of workplace fatal injuries by incident risk type (Type A/B), 2024-2025"
Table 3d:,"Number of workplace fatal injuries by incident type (cause) and incident agent, 2024-2025"
Table 3e:,"Number of workplace fatal injuries by industry and incident type (cause), 2025"
Table 4a:,"Number of workplace major injuries by selected industry/ work activity, 2024-2025"
Table 4b:,"Rate of workplace major injuries by selected industry/ work activity, 2024-2025"
Table 4c:,"Types of workplace major injuries, 2024-2025"
Table 4d:,"Number of workplace major injuries by incident risk type (Type A/B), 2024-2025"
Table 4e:,"Number of workplace major injuries by key incident type (cause) and incident agent, 2024-2025"
Table 4f:,"Top three incident types for workplace major injuries by industry, 2025"
Table 5a:,"Number of workplace minor injuries by selected industry, 2024-2025"
Table 5b:,"Rate of workplace minor injuries by selected industry, 2024-2025"
Table 5c:,"Types of workplace minor injuries, 2024-2025"
Table 5d:,"Number of workplace minor injuries by incident risk type (Type A/B), 2024-2025"
Table 5e:,"Number of workplace minor injuries by key incident type (cause) and incident agent, 2024-2025"
Table 5f:,"Top three incident types for workplace minor injuries by industry, 2025"
Table 5g:,"Top three incident types for workplace minor injuries by industry, 2025[N]"
Table 6a:,"Number of dangerous occurrences by industry, 2024-2025"
Table 6b:,"Types of dangerous occurrences, 2024-2025"
Table 7a:,"Number of occupational disease cases by selected industry, 2024-2025"
Table 7b:,"Rate of occupational disease incidence by selected industry, 2024-2025"
Table 7c:,"Number of occupational disease cases by type, 2024-2025"
Table 7d:,"Number of noise-induced hearing loss cases by selected industry, 2024-2025"
Table 7e:,"Number of work-related musculoskeletal disorder cases by selected industry, 2024-2025"
Table 7f:,"Number of occupational skin disease cases by selected industry, 2024-2025"
Table 7g:,"Top causative agents of occupational skin diseases, 2025"
Table 8:,"Number of man-days lost to workplace incidents by industry, 2024-2025"
