Incident Type (Cause).Total Workplace Minor Injuries for Type A,Incident Agent.Total Workplace Minor Injuries for Type A,"2024.3,534","2025.3,239","2024 [N].6,140","2025 [N].5,804"
Struck by Moving Objects,Total,"1,077",997,"2,173","2,075"
Struck by Moving Objects,Furniture & Fittings,225,180,539,457
Struck by Moving Objects,Metal Items (excluding knives/needles),317,275,517,432
Struck by Falling Objects,Total,946,802,"1,619","1,502"
Struck by Falling Objects,Metal Items (excluding knives/needles),289,243,452,393
Struck by Falling Objects,Furniture & Fittings,160,96,312,238
Caught In/ Between Objects,Total,495,509,848,863
Caught In/ Between Objects,Furniture & Fittings,128,133,269,281
Caught In/ Between Objects,Metal Items (excluding knives/needles),189,162,283,239
Vehicular Incidents,Total,524,493,839,794
- Work-related Traffic Accidents,Subtotal,186,155,322,271
- Work-related Traffic Accidents,Motor Vehicles,186,155,322,271
In Workplaces,Subtotal,338,338,517,523
In Workplaces,Motor Vehicles,171,149,272,265
In Workplaces,Vehicle - Forklifts,79,86,102,113
,Total,405,369,532,467
Falls from Height,Means of Access - Ladders,300,279,402,352
Falls from Height,Physical Workplace - Structures,31,30,40,41
"Slips, Trips & Falls",Total,"3,447","3,649","5,946","6,482"
"Slips, Trips & Falls",Physical Workplace - Floors/Level Surfaces,"1,639","1,606","2,837","2,928"
"Slips, Trips & Falls",Means of Access - Stairs or Steps,584,614,950,"1,026"
"Slips, Trips & Falls",Furniture & Fittings,229,237,457,465
Machinery Incidents,Total,"1,709","1,575","2,697","2,527"
Machinery Incidents,Industrial Machines,616,552,816,758
Machinery Incidents,Industrial Hand Tools,570,496,839,711
Over-exertion/ Strenuous Movements,Total,868,"1,019","1,760","2,100"
Over-exertion/ Strenuous Movements,Human Factors,490,679,"1,011","1,453"
Over-exertion/ Strenuous Movements,Goods/Cargo,146,152,307,302
Striking Against Objects,Total,552,544,"1,330","1,349"
Striking Against Objects,Furniture & Fittings,177,163,497,484
Striking Against Objects,Metal Items (excluding knives/needles),115,113,261,249
Physical Assault,Total,151,163,952,"1,128"
Physical Assault,Human Factors,151,163,952,"1,128"
Cut/Stabbed by Objects,Total,393,397,702,777
,Glass Items,135,120,247,240
,Metal Items (excluding knives/needles),126,123,200,215
Exposure to/ Contact with,Total,292,319,761,772
Exposure to/ Contact with,Hot scalding liquid/Steam,251,275,624,657
Extreme Temperatures,Industrial Machines,12,13,47,32
