Industry,Top Three Incident Types.1 st,Top Three Incident Types.2 nd,Top Three Incident Types.3 rd
All Industries (Excluding PWs),STF,MAC,OESM
Manufacturing,MAC,STF,SBMO
Metalworking,MAC,STF,SBMO
"Manufacture of Food, Beverages &Tobacco",STF,MAC,OESM
"Manufacture of Computer, Electronic &Optical Products",STF,MAC,"CIBO, SAO"
Construction,STF,MAC,SBFO
Accommodation &Food Service Activities,STF,MAC,ETET
Food &Beverage Service Activities,STF,MAC,ETET
Accommodation,STF,MAC,SBMO
Transportation& Storage,STF,VEH,OESM
Logistics &Transport,STF,VEH,OESM
Administrative& Support Service Activities,STF,VEH,MAC
Cleaning &Landscape Maintenance Activities,STF,SBFO,SBMO
Security & Investigation Activities,STF,VEH,OESM
Wholesale& Retail Trade,STF,MAC,OESM
Wholesale Trade,STF,MAC,OESM
Retail Trade,STF,MAC,OESM
"Professional, Scientific& Technical Activities",STF,MAC,"SBMO, OESM"
Marine,STF,MAC,SBMO
Real Estate Activities,STF,"MAC, OESM",-
Financial& Insurance Services,STF,OESM,SAO
"Water Supply; Sewerage, Waste Management& Remediation Activities",STF,MAC,OESM
"Community, Social & Personal Services",STF,OESM,SBMO
Health &Social Services,STF,OESM,SBMO
Education,STF,OESM,SBMO
Other Services Activities,STF,MAC,OESM
"Arts, Entertainment &Recreation",STF,OESM,"SAO, ETBM"
