Type A Incidents,Type A Incidents,Type B Incidents,Type B Incidents,Type B Incidents,Type B Incidents
Caught In/Between Objects,Caught In/Between Objects,Over-exertion/ Strenuous Movements,Over-exertion/ Strenuous Movements,Over-exertion/ Strenuous Movements,Over-exertion/ Strenuous Movements
Collapse/Failure of Structures& Equipment,Collapse/Failure of Structures& Equipment,Other Incident Types,Other Incident Types,Other Incident Types,Other Incident Types
Crane-related Incidents,Crane-related Incidents,Physical Assault,Physical Assault,Physical Assault,Physical Assault
Falls from Height,Falls from Height,Striking Against Objects,Striking Against Objects,Striking Against Objects,Striking Against Objects
Fires & Explosion,Fires & Explosion,Stepping on Objects,Stepping on Objects,Stepping on Objects,Stepping on Objects
Suffocation/Drowning,Suffocation/Drowning,"Slips, Trips & Falls","Slips, Trips & Falls","Slips, Trips & Falls","Slips, Trips & Falls"
Struck by Falling Objects,Struck by Falling Objects,,,,
Struck by Moving Objects,Struck by Moving Objects,,,,
Vehicular Incidents,Vehicular Incidents,,,,
