Incident Type.Total Dangerous Occurrences,Incident Agent.Total Dangerous Occurrences,2024.19,2025.23
Collapse/Failure of Structure& Equipment,Total,14,10
Collapse/Failure of Structure& Equipment,Lifting Equipment - Cranes,11,9
Collapse/Failure of Structure& Equipment,Lifting Equipment - Other Lifting Equipment,2,0
Collapse/Failure of Structure& Equipment,Lifting Equipment - Lifts and Hoists,1,1
Fires & Explosion,Total,5,13
Fires & Explosion,"Dust, Gas, Liquid &Chemicals",1,4
Fires & Explosion,Pressurised Equipment,1,2
Fires & Explosion,Industrial Machines,1,2
Fires & Explosion,Explosives/ Flammable Substances,2,1
Fires & Explosion,Electrical Installation,0,1
Fires & Explosion,Others,0,3
