Industry,2024,2025
All Industries,249,317
Manufacturing,32,43
Metalworking,8,13
"Manufacture of Food, Beverages & Tobacco",7,11
Manufacture of Transport Equipment,4,5
Transportation& Storage,14,29
Logistics & Transport,13,25
Accommodation &Food Service Activities,36,25
Accommodation,17,12
Food & Beverage Service Activities,19,13
Wholesale & Retail Trade,24,21
Wholesale Trade,13,5
Retail Trade,11,16
Construction,28,18
"Professional, Scientific & Technical Activities",3,17
Administrative& Support Service Activities,11,15
Cleaning & Landscape Maintenance Activities,3,7
"Office Administrative, Office Support and Other Business Support Activities",5,5
Security & Investigation Activities,1,2
Real Estate Activities,11,10
Marine,2,5
"Water Supply; Sewerage, Waste Management &Remediation Activities",1,4
"Electricity, Gas & Air-Conditioning Supply",0,3
Financial & Insurance Services,3,1
"Community, Social & Personal Services",81,122
Health & Social Services,64,100
Other Services Activities,5,8
Education,8,8
"Arts, Entertainment &Recreation",3,5
All Industries,94,117
"Professional, Scientific & Technical Activities",1,11
Manufacturing,3,9
"Manufacture of Food, Beverages & Tobacco",1,3
Manufacture of Petroleum Products & Chemical Products,1,1
Manufacture of Paper / Rubber / Plastic Products & Printing,0,1
Metalworking,1,0
Accommodation &Food Service Activities,1,2
Food & Beverage Service Activities,1,2
Construction,5,2
Financial & Insurance Services,2,2
Administrative& Support Service Activities,1,2
Cleaning & Landscape Maintenance Activities,1,0
Security & Investigation Activities,0,1
Transportation& Storage,0,1
Logistics & Transport,0,1
"Water Supply; Sewerage, Waste Management &Remediation Activities",1,0
"Community, Social & Personal Services",80,88
Health & Social Services,79,86
Other Services Activities,0,1
Education,1,0
"Arts, Entertainment &Recreation",0,1
