Industry,2024,2025,2024 [N],2025 [N]
All Industries (Excluding PWs),"501,202","443,554","521,908","466,767"
Construction,"178,526","128,238","180,016","129,605"
Marine,"35,921","10,480","36,172","10,763"
Manufacturing,"59,985","71,715","62,804","75,203"
Metalworking,"25,868","30,813","26,797","32,270"
"Manufacture of Food, Beverages & Tobacco","16,629","16,479","17,399","17,256"
Manufacture of Petroleum Products & Chemical Products,"1,971","1,490","2,099","1,633"
"Water Supply; Sewerage, Waste Management & Remediation Activities","21,571","9,324","21,895","9,694"
Wholesale & Retail Trade,"22,141","26,254","23,440","27,589"
Wholesale Trade,"15,654","14,903","16,083","15,330"
Retail Trade,"6,487","11,351","7,357","12,259"
Transportation& Storage,"73,033","62,231","74,432","64,465"
Logistics & Transport,"39,323","39,277","40,426","41,187"
Accommodation &Food Service Activities,"26,446","27,312","29,958","30,620"
Accommodation,"8,090","8,189","9,650","9,642"
Food & Beverage Service Activities,"18,356","19,123","20,308","20,978"
Information & Communications,"1,850",995,"2,136","1,161"
Financial & Insurance Services,"2,861","2,692","3,262","2,890"
Real Estate Activities,"10,354","4,752","10,718","5,178"
"Professional, Scientific & Technical Activities","6,451","20,586","7,237","21,445"
Administrative& Support Service Activities,"13,644","32,576","15,052","34,108"
Cleaning & Landscape Maintenance Activities,"7,224","20,399","7,780","21,054"
Security & Investigation Activities,"3,241","3,166","3,762","3,691"
"Community, Social & Personal Services","46,825","44,043","53,052","51,495"
Health & Social Services,"20,228","24,021","24,816","29,501"
Education,"9,448","8,990","10,051","9,799"
Other Services Activities,"5,597","5,397","6,123","5,937"
"Arts, Entertainment &Recreation","3,330","3,464","3,677","3,849"
