Sector,Incident Risk Type,2024,2025
,Overall,166,148
,Type A,106,97
Construction,Type B,60,51
,Leading Incident: Type A Falls from Height,44,43
Manufacturing,Overall,125,124
Manufacturing,Type A,34,36
Manufacturing,Type B,91,88
Manufacturing,Leading Incident: Type B Machinery Incidents,42,37
Transportation &Storage,Overall,49,64
Transportation &Storage,Type A,28,30
,Type B,21,34
,"Leading Incident: Type B Slips, Trips &Falls",12,21
,Overall,22,13
,Type A,16,6
,Type B,6,7
,"Leading Incident: Type B Slips, Trips &Falls",5,6
