,2024.Type A,2024.Type B,2024.Overall,2025.Type A,2025.Type B,2025.Overall
Total Workplace Injuries [N 2 ],,,,,,
- Including PWs,n.a.,n.a.,n.a.,"7,144","16,919","24,063"
- Excluding PWs Fatal Injuries,"6,389","15,768","22,157","6,048","16,662","22,710"
-Including PWs,38,5,43,34,2,36
-Excluding PWs,38,5,43,32,2,34
(from WRTA) Major Injuries [N],(4),(n.a.),(4),(6),(n.a.),(6)
-Including PWs,n.a.,n.a.,n.a.,273,387,660
-Excluding PWs Minor Injuries [N],211,376,587,212,374,586
-Including PWs,n.a.,n.a.,n.a.,"6,837","16,530","23,367"
-Excluding PWs,"6,140","15,387","21,527","5,804","16,286","22,090"
Dangerous Occurrences Occupational Diseases,,,19,,,23
-Including PWs,,,n.a.,,,"1,028"
-Excluding PWs Total Workplace Injury [N] Rate,,,899,,,"1,027"
- Including PWs,n.a.,n.a.,n.a.,191,453,645
- Excluding PWs Fatal Injury Rate,173,428,601,162,446,608
-Including PWs,1.03,0.14,1.2,0.91,0.05,0.96
-Excluding PWs Major Injury [N] Rate,1.03,0.14,1.2,0.86,0.05,0.91
-Including PWs,n.a.,n.a.,n.a.,7.3,10.4,17.7
-Excluding PWs Minor Injury [N] Rate,5.7,10.2,15.9,5.7,10.0,15.7
-Including PWs,n.a.,n.a.,n.a.,183,443,626
-Excluding PWs Occupational Diseases Incidence Rate,167,418,584,155,436,592
-Including PWs,,,n.a.,,,27.5
-Excluding PWs Man-days Loss [N],,,24.4,,,27.5
-Including PWs,n.a.,n.a.,n.a.,"295,392","198,191","493,583"
-Excluding PWs,"315,925","205,983","521,908","271,784","194,983","466,767"
